"Source:","/home/robert/ownCloud/Electronics/Projects/NixieClock_2017/PCB/esp_nixie_clock.sch"
"Date:","otrdiena, 2017. gada 21. novembris, plkst. 15 un 48"
"Tool:","Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","132"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part Number","Manufacturer Part number","Notes"
"","","BT1","CR2032","device:Battery_Cell","footprints:BATT_HOLDER","","","","",""
"","","C1","100n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C2","270p","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C3","220u","device:CP","Capacitors_SMD:CP_Elec_8x10","","Nichicon","UWT1E221MNL1GS","","25V"
"","","C4","10n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C5","220u","device:CP","Capacitors_SMD:CP_Elec_8x10","","","","EMZR250ADA221MF80G",""
"","","C6","100n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C7","100n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C8","680p","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C9","220u","device:CP","Capacitors_SMD:CP_Elec_8x10","","Nichicon","UWT1E221MNL1GS","","25V"
"","","C10","10n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C11","2.2u","device:CP","Capacitors_SMD:CP_Elec_8x10","","","","",""
"","","C12","100n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C13","100n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C14","6p","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C15","6p","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
"","","C16","100n","device:C","Capacitors_SMD:C_0805_HandSoldering","","","","",""
